m/z	Intensity
134.95245	8735.00000
135.07510	6347.00000
135.22859	19524.00000
135.22900	10272.00000
135.23703	5838.00000
135.29945	9001.00000
135.63846	7160.00000
135.70564	7731.00000
136.09846	14372.00000
136.09889	10055.00000
136.16829	5906.00000
136.43126	9687.00000
136.63597	5644.00000
136.67075	14000.00000
136.67117	8649.00000
136.78271	7333.00000
136.81114	17728.00000
136.82683	7996.00000
136.96901	8320.00000
136.96944	7616.00000
137.05986	12774.00000
137.10361	6810.00000
137.22893	8198.00000
137.37598	12859.00000
138.54033	7103.00000
138.54929	6730.00000
138.57234	8210.00000
138.60736	4159.00000
138.76755	7504.00000
138.88763	7161.00000
138.92012	5555.00000
138.99580	11011.00000
139.03729	11171.00000
139.15364	13953.00000
139.54156	11283.00000
139.54543	14091.00000
139.99783	21081.00000
140.33580	3353.00000
140.38135	6981.00000
140.38693	23209.00000
140.45786	20428.00000
140.70084	6637.00000
140.70126	6680.00000
140.82391	7305.00000
140.88849	11765.00000
141.33487	8989.00000
141.46126	3995.00000
141.60753	9135.00000
141.91373	6669.00000
141.99152	13099.00000
141.99194	10496.00000
142.01183	16406.00000
142.05981	15211.00000
142.06024	9017.00000
142.34616	8513.00000
142.38208	3381.00000
142.63148	2143.00000
142.65314	5827.00000
142.65358	6516.00000
142.65401	12553.00000
142.69647	14449.00000
142.99039	17403.00000
143.42836	13949.00000
143.55437	7648.00000
143.73564	5148.00000
143.79610	3665.00000
143.79652	3718.00000
144.02888	8098.00000
144.03236	7255.00000
144.15602	10007.00000
144.15646	8486.00000
144.15689	11234.00000
144.35162	15381.00000
144.55347	11714.00000
144.56351	8521.00000
144.67430	8707.00000
144.81088	9373.00000
144.98291	10067.00000
145.37013	9252.00000
145.37668	9407.00000
145.43048	15410.00000
145.56743	5213.00000
145.72983	11601.00000
145.76837	4690.00000
145.80428	6231.00000
145.94885	9290.00000
145.94928	10516.00000
146.17636	12196.00000
146.35973	12028.00000
146.36017	8696.00000
146.36104	9334.00000
146.43697	12265.00000
146.46638	14981.00000
146.57878	10063.00000
146.60995	8315.00000
146.61040	11107.00000
146.69078	4980.00000
146.96196	11046.00000
147.11414	6460.00000
147.14142	7736.00000
147.14186	6535.00000
147.18190	15516.00000
147.55530	8660.00000
