m/z	Intensity
202.03012	245591.00000
202.03062	474142.00000
202.03114	496564.00000
202.03166	338460.00000
202.03218	105551.00000
202.03268	48404.00000
203.03929	7331.00000
204.77180	6299.00000
204.77232	9951.00000
204.84500	15325.00000
205.97829	12473.00000
205.97881	15728.00000
205.97932	25567.00000
205.97984	35864.00000
205.98036	26213.00000
205.98088	11551.00000
205.98140	7736.00000
206.00952	121232.00000
206.01004	349353.00000
206.01056	826725.00000
206.01108	1208662.00000
206.01160	1586525.00000
206.01212	1014876.00000
206.01263	474210.00000
206.01317	193060.00000
206.01369	57200.00000
206.16937	2993.00000
207.48129	10047.00000
208.00932	13670.00000
208.00984	13342.00000
208.01038	9347.00000
209.65048	6705.00000
209.74030	17465.00000
209.87794	10589.00000
211.00607	16631.00000
211.00661	114598.00000
211.00713	271346.00000
211.00766	427745.00000
211.00818	488597.00000
211.00871	247877.00000
211.00923	115372.00000
211.00977	47206.00000
211.04507	6408.00000
211.04559	5288.00000
212.01732	16091.00000
212.01785	24320.00000
212.01839	66367.00000
212.01891	268272.00000
212.01944	266710.00000
212.01996	320023.00000
212.02049	157563.00000
212.02103	62252.00000
212.02155	29010.00000
212.04214	242069.00000
212.04268	1162550.00000
212.04320	3155500.00000
212.04373	7371891.00000
212.04427	24160811.00000
212.04478	49647190.00000
212.04532	102536958.00000
212.04585	129172947.00000
212.04637	77670555.00000
212.04691	23030822.00000
212.04742	18793165.00000
212.04796	9550120.00000
212.04849	3156311.00000
212.04901	1464192.00000
212.04955	737212.00000
212.05006	249600.00000
212.05060	106256.00000
212.05113	39152.00000
212.05165	16929.00000
212.09550	19032.00000
212.09602	152467.00000
212.09656	348310.00000
212.09708	465093.00000
212.09761	249992.00000
212.09814	105327.00000
212.09866	35381.00000
213.00134	15873.00000
213.04158	68712.00000
213.04211	183886.00000
213.04263	292420.00000
213.04317	195410.00000
213.04370	86270.00000
213.04422	7386.00000
213.04582	15077.00000
213.04634	479263.00000
213.04688	1164317.00000
213.04741	2183955.00000
213.04793	5010383.00000
213.04846	8739028.00000
213.04900	15014604.00000
213.04951	13140420.00000
213.05005	6067075.00000
213.05058	2821719.00000
213.05112	2248114.00000
213.05164	928321.00000
213.05217	429758.00000
213.05270	20627.00000
213.11676	4534.00000
213.98021	11276.00000
214.04814	25267.00000
214.04868	271577.00000
214.04919	469588.00000
214.04973	783234.00000
214.05026	897561.00000
214.05080	765336.00000
214.05132	585141.00000
214.05185	822105.00000
214.05238	671572.00000
214.05292	519920.00000
214.05345	212589.00000
214.05397	51444.00000
214.05981	8783.00000
214.06035	37992.00000
214.06087	83141.00000
214.06140	122913.00000
214.06194	111147.00000
214.06247	29514.00000
214.44101	10572.00000
214.97995	9933.00000
214.98048	14723.00000
214.99962	13473.00000
215.00015	17178.00000
215.00069	22144.00000
215.00122	20171.00000
215.00175	9430.00000
216.99333	8567.00000
216.99387	14455.00000
216.99440	59988.00000
216.99493	138842.00000
216.99547	230858.00000
216.99600	367358.00000
