Processing file: 110924_h12_glufib
Base Peak Intensity Threshold: 400000.0
m/z Range: 100.0 - 4000.0
Minimum Intensity for m/z: 10.0

Scan	Base Peak m/z	Base Peak Intensity	Included/Excluded
311	1570.60339	1037487.00	Included
312	1570.60193	1485652.00	Included
313	1570.60193	872577.00	Included
314	1570.60193	1510983.00	Included
315	1570.60193	1219265.00	Included
316	1570.60059	932282.00	Included
317	1570.60193	991848.00	Included
318	1570.60193	913455.00	Included
319	1570.60193	1130366.00	Included
320	1570.60193	1358306.00	Included
321	1570.60193	934915.00	Included
322	1570.60193	1036252.00	Included
323	1570.60193	1085515.00	Included
324	1570.60193	955434.00	Included
325	1570.60193	698239.00	Included
326	1570.60193	185369.00	Excluded (Base peak below threshold)
327	1570.60193	609249.00	Included
328	1570.60193	1403630.00	Included
329	1570.60059	1408879.00	Included
330	1570.60193	1113224.00	Included
331	1570.60193	797630.00	Included
332	1570.60193	2025856.00	Included
333	1570.60193	1292420.00	Included
334	1570.60193	1441130.00	Included
335	1570.60193	1147622.00	Included
336	1570.60193	682527.00	Included
337	1570.60193	893125.00	Included
338	1570.60059	675272.00	Included
339	1570.60059	792755.00	Included
340	1570.60193	1001047.00	Included
341	1570.60059	919068.00	Included
342	1570.59912	1281709.00	Included
343	1570.60059	758139.00	Included
344	1570.60193	777910.00	Included
345	1570.60059	582795.00	Included
346	1570.60059	1397621.00	Included
347	1570.60193	1042306.00	Included
348	1570.60193	1031323.00	Included
349	1570.60059	1359944.00	Included
350	1570.60193	699527.00	Included
351	1570.60193	1401311.00	Included
352	1570.60193	1713619.00	Included
353	1570.60059	1375485.00	Included
354	1570.60059	954925.00	Included
355	1570.60059	1482188.00	Included
356	1570.60059	1387619.00	Included
357	1570.60193	1334508.00	Included

Total included scans: 317
